version,account_id,interface_id,start_time,end_time,srcaddr,dstaddr,srcport,dstport,protocol,packets,bytes,action,log_status
2,123456789012,eni-98928727,2025-01-21T23:16:12,2025-01-21T23:16:54,36.215.63.71,224.162.16.125,42416,5000,icmp,35,91990,ACCEPT,OK
2,123456789012,eni-96488830,2025-01-21T23:50:12,2025-01-21T23:50:23,186.93.139.207,34.159.140.241,22231,80,udp,10,25716,REJECT,OK
2,123456789012,eni-68474809,2025-01-21T23:41:04,2025-01-21T23:41:48,188.136.186.65,85.244.88.7,13438,80,tcp,78,56178,REJECT,OK
2,123456789012,eni-76065151,2025-01-21T23:10:31,2025-01-21T23:10:34,169.92.19.142,224.230.253.167,45118,22,icmp,83,13974,ACCEPT,OK
2,123456789012,eni-33478924,2025-01-21T23:51:24,2025-01-21T23:51:47,142.188.95.203,79.252.177.34,35203,53,icmp,95,81680,REJECT,OK
2,123456789012,eni-86401054,2025-01-21T22:55:55,2025-01-21T22:56:48,77.39.136.201,35.87.124.20,30074,53,icmp,6,13896,ACCEPT,OK
2,123456789012,eni-35780465,2025-01-21T23:26:40,2025-01-21T23:26:50,41.67.227.45,26.203.184.144,52673,8080,icmp,83,19494,ACCEPT,OK
2,123456789012,eni-29174005,2025-01-21T23:46:31,2025-01-21T23:46:44,37.21.228.3,74.98.138.117,48022,443,udp,68,68713,ACCEPT,OK
2,123456789012,eni-83410578,2025-01-21T23:49:59,2025-01-21T23:50:23,62.3.103.41,129.72.67.108,23985,80,tcp,6,64947,REJECT,OK
2,123456789012,eni-48444202,2025-01-21T22:53:17,2025-01-21T22:53:39,14.76.251.195,228.91.31.214,9822,5000,udp,24,20509,REJECT,OK
2,123456789012,eni-29560043,2025-01-21T23:24:26,2025-01-21T23:25:02,2.255.101.137,250.201.195.17,51143,53,udp,23,49738,REJECT,OK
2,123456789012,eni-45044736,2025-01-21T23:30:36,2025-01-21T23:31:20,244.137.30.164,214.137.6.180,9470,22,tcp,49,91485,ACCEPT,OK
2,123456789012,eni-21524772,2025-01-21T23:24:13,2025-01-21T23:24:57,212.68.215.213,147.16.218.113,3578,8080,icmp,62,95097,ACCEPT,OK
2,123456789012,eni-97917194,2025-01-21T23:45:31,2025-01-21T23:46:21,163.150.234.158,85.76.217.26,5174,8080,icmp,34,67090,REJECT,OK
2,123456789012,eni-50404399,2025-01-21T23:47:32,2025-01-21T23:48:08,29.49.242.135,35.73.70.118,6616,53,udp,20,17259,REJECT,OK
2,123456789012,eni-19797427,2025-01-21T23:05:52,2025-01-21T23:06:41,160.63.34.115,223.217.84.121,16245,22,udp,84,28831,ACCEPT,OK
2,123456789012,eni-52557246,2025-01-21T23:27:29,2025-01-21T23:28:21,133.123.154.245,118.240.122.125,44910,443,udp,33,31723,ACCEPT,OK
2,123456789012,eni-84906917,2025-01-21T22:54:08,2025-01-21T22:54:18,199.129.173.96,213.150.207.184,19165,53,tcp,52,67369,ACCEPT,OK
2,123456789012,eni-24017440,2025-01-21T23:35:27,2025-01-21T23:35:42,28.53.149.162,114.59.85.144,49262,8080,udp,53,75370,ACCEPT,OK
2,123456789012,eni-37720979,2025-01-21T23:21:38,2025-01-21T23:22:26,248.9.241.42,150.38.246.244,35219,8080,udp,95,42899,REJECT,OK
2,123456789012,eni-35872524,2025-01-21T23:13:05,2025-01-21T23:13:48,158.117.91.124,122.69.106.88,52116,80,tcp,83,47447,REJECT,OK
2,123456789012,eni-49940946,2025-01-21T23:38:34,2025-01-21T23:39:27,39.41.252.147,62.231.17.126,20552,443,udp,77,42453,REJECT,OK
2,123456789012,eni-22240317,2025-01-21T23:13:15,2025-01-21T23:13:28,197.42.173.38,226.59.110.144,19877,80,icmp,59,46910,REJECT,OK
2,123456789012,eni-14295310,2025-01-21T22:56:14,2025-01-21T22:56:34,11.159.169.196,84.35.73.250,58137,5000,tcp,94,21688,ACCEPT,OK
2,123456789012,eni-44517684,2025-01-21T23:42:50,2025-01-21T23:43:33,127.139.88.159,18.228.3.165,55162,8080,udp,94,29625,ACCEPT,OK
2,123456789012,eni-79560051,2025-01-21T23:46:27,2025-01-21T23:47:14,236.93.179.238,177.179.196.44,63777,5000,udp,57,1702,ACCEPT,OK
2,123456789012,eni-88817324,2025-01-21T23:15:55,2025-01-21T23:16:47,248.134.194.220,247.158.183.35,7600,80,tcp,11,20126,REJECT,OK
2,123456789012,eni-93198573,2025-01-21T22:54:29,2025-01-21T22:55:20,39.78.117.197,43.234.218.107,32073,8080,udp,88,42188,REJECT,OK
