version,account_id,interface_id,start_time,end_time,srcaddr,dstaddr,srcport,dstport,protocol,packets,bytes,action,log_status
2,123456789012,eni-57200067,2025-01-21T22:52:42,2025-01-21T22:53:09,2.194.202.4,95.78.206.154,37472,8080,6,67,16189,REJECT,OK
2,123456789012,eni-88656598,2025-01-21T22:25:55,2025-01-21T22:26:29,216.196.113.148,82.133.60.40,63715,80,6,72,98782,REJECT,OK
2,123456789012,eni-72810741,2025-01-21T22:57:44,2025-01-21T22:58:41,126.91.240.166,92.1.87.77,16801,8080,1,44,81927,ACCEPT,OK
2,123456789012,eni-53260971,2025-01-21T22:55:04,2025-01-21T22:55:45,180.89.174.145,180.209.175.127,36082,8080,17,80,33040,REJECT,OK
2,123456789012,eni-35414500,2025-01-21T22:05:51,2025-01-21T22:06:48,127.77.85.134,164.16.253.74,19007,5000,17,20,59100,REJECT,OK
2,123456789012,eni-33792078,2025-01-21T22:17:02,2025-01-21T22:17:19,8.149.155.178,94.136.89.42,57139,53,6,44,52427,ACCEPT,OK
2,123456789012,eni-31482517,2025-01-21T22:26:35,2025-01-21T22:27:08,108.255.234.246,209.5.224.98,16819,22,6,62,20169,REJECT,OK
2,123456789012,eni-93664636,2025-01-21T22:34:27,2025-01-21T22:35:16,67.176.69.53,158.15.114.78,60296,80,6,23,19152,ACCEPT,OK
2,123456789012,eni-12569924,2025-01-21T22:43:05,2025-01-21T22:43:12,48.97.137.90,240.223.220.129,51959,53,17,89,1641,ACCEPT,OK
2,123456789012,eni-13671552,2025-01-21T22:45:08,2025-01-21T22:45:35,170.97.156.4,17.148.253.63,14067,443,1,38,82520,ACCEPT,OK
2,123456789012,eni-21079001,2025-01-21T22:26:56,2025-01-21T22:27:45,124.112.29.174,110.95.134.62,55946,8080,17,44,66985,REJECT,OK
2,123456789012,eni-44375975,2025-01-21T22:44:30,2025-01-21T22:45:28,153.62.131.74,174.26.221.60,9659,8080,6,98,55328,ACCEPT,OK
2,123456789012,eni-82966640,2025-01-21T22:15:35,2025-01-21T22:16:30,232.73.191.251,77.10.67.164,26960,443,6,9,72496,ACCEPT,OK
2,123456789012,eni-25370862,2025-01-21T22:37:18,2025-01-21T22:37:46,72.60.49.236,137.188.34.17,19393,8080,17,55,46488,ACCEPT,OK
2,123456789012,eni-89274627,2025-01-21T22:02:58,2025-01-21T22:03:26,36.31.239.158,88.1.68.138,11109,443,17,21,54350,REJECT,OK
2,123456789012,eni-31095595,2025-01-21T22:18:59,2025-01-21T22:19:09,255.221.249.240,4.195.153.205,45382,443,6,39,11515,REJECT,OK
2,123456789012,eni-79311542,2025-01-21T22:12:06,2025-01-21T22:12:18,183.71.182.62,221.5.99.228,48695,8080,6,31,78271,ACCEPT,OK
2,123456789012,eni-94099026,2025-01-21T22:08:54,2025-01-21T22:09:16,238.130.218.105,101.114.251.154,10850,5000,6,75,44,REJECT,OK
2,123456789012,eni-23231726,2025-01-21T22:19:07,2025-01-21T22:19:54,129.223.184.80,159.164.110.39,59327,5000,6,90,79491,ACCEPT,OK
